,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
0,10,3,0,100.0,0.0,1.7669,1.0528,10000
1,10,3,1,100.0,0.1994,1.951,1.172,10000
2,10,3,2,100.0,0.4301,2.2836,1.3864,10000
3,10,3,3,100.0,0.6895,2.7187,1.6567,10000
4,10,3,4,100.0,1.0164,3.0382,1.9113,10000
5,10,3,5,99.99,1.3702,3.344,2.148,10000
6,10,4,0,100.0,0.0,1.9604,1.1735,10000
7,10,4,1,100.0,0.2419,2.2813,1.3901,10000
8,10,4,2,100.0,0.5096,2.7109,1.6533,10000
9,10,4,3,100.0,0.8341,3.0933,1.9104,10000
10,10,4,4,100.0,1.1881,3.4126,2.1382,10000
11,10,4,5,99.96,1.5675,3.6424,2.3537,10000
12,10,5,0,100.0,0.0,2.3295,1.3836,10000
13,10,5,1,100.0,0.2761,2.6886,1.6377,10000
14,10,5,2,100.0,0.6005,3.0956,1.8947,10000
15,10,5,3,100.0,0.9263,3.3884,2.1106,10000
16,10,5,4,99.98,1.3561,3.6798,2.3364,10000
17,10,5,5,99.99,1.8077,3.8885,2.5868,10000
18,10,6,0,100.0,0.0,2.7356,1.6511,10000
19,10,6,1,100.0,0.3214,3.1444,1.8952,10000
20,10,6,2,100.0,0.6719,3.4358,2.108,10000
21,10,6,3,100.0,1.0511,3.729,2.3182,10000
22,10,6,4,99.98,1.5091,3.9721,2.5538,10000
23,10,6,5,99.9,1.9818,4.3210000000000015,2.8527,10000
24,10,7,0,100.0,0.0,3.1482,1.8815,10000
25,10,7,1,100.0,0.3428,3.4542,2.0896,10000
26,10,7,2,100.0,0.7328,3.6986,2.28,10000
27,10,7,3,100.0,1.1611,3.8839,2.4968,10000
28,10,7,4,99.95,1.6292,4.2971,2.7785,10000
29,10,7,5,99.82,2.1665,4.5763,3.0983,10000
30,10,8,0,100.0,0.0,3.4431,2.076,10000
31,10,8,1,100.0,0.3774,3.7241,2.2677,10000
32,10,8,2,100.0,0.7829,4.0363,2.4843,10000
33,10,8,3,99.99,1.2641,4.3453,2.7463,10000
34,10,8,4,99.89,1.8133,4.5814,3.0447,10000
35,10,8,5,99.54,2.3680000000000003,4.8603,3.3694,10000
36,10,9,0,100.0,0.0,3.7847,2.2518,10000
37,10,9,1,100.0,0.414,4.0051,2.4530000000000003,10000
38,10,9,2,100.0,0.8815,4.3676,2.7076,10000
39,10,9,3,100.0,1.369,4.6362,2.9747,10000
40,10,9,4,99.94,1.9557,4.9527,3.306,10000
41,10,9,5,99.41,2.6058,5.189,3.6733,10000
42,10,10,0,100.0,0.0,4.0428,2.4314,10000
43,10,10,1,100.0,0.4352,4.3916,2.6675,10000
44,10,10,2,100.0,0.9444,4.6806,2.926,10000
45,10,10,3,99.94,1.4966,4.9799,3.2153,10000
46,10,10,4,99.82,2.1203,5.2593,3.5461,10000
47,10,10,5,99.27,2.8062,5.5428,3.949,10000
48,1,0,1,74.19,0.2581,0.2473,1.4916,10000
